step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
82,0.082,0,0.009359,4.76012e-10,0,-331.485,6.35936e-12,
83,0.083,0,0.009782,3.89561e-10,0,-339.521,7.30438e-12,
84,0.084,0,0.017042,3.56208e-10,0,-347.653,5.2367e-12,
85,0.085,0,0.009197,3.89911e-10,0,-355.881,4.29878e-12,
86,0.08600000000000001,0,0.008041,3.9767e-10,0,-364.205,5.79803e-12,
87,0.08700000000000001,0,0.010362,4.57255e-10,0,-372.626,6.68621e-12,
88,0.088,0,0.008769,3.97277e-10,0,-381.143,3.02691e-12,
89,0.089,0,0.00962,3.94855e-10,0,-389.756,6.38778e-12,
90,0.09,0,0.004747,3.45108e-10,0,-398.466,6.68621e-12,
91,0.091,0,0.005528,4.06378e-10,0,-407.271,5.25802e-12,
92,0.092,0,0.003818,4.10136e-10,0,-416.173,7.95808e-12,
93,0.093,0,0.00715,4.25565e-10,0,-425.171,6.60805e-12,
94,0.094,0,0.003455,4.13747e-10,0,-434.265,5.25091e-12,
95,0.095,0,0.00436,3.52977e-10,0,-443.456,5.7625e-12,
96,0.096,0,0.003546,4.16181e-10,0,-452.743,5.85487e-12,
97,0.097,0,0.003599,3.73708e-10,0,-462.126,4.08562e-12,
98,0.098,0,0.003534,3.54182e-10,0,-471.605,4.61142e-12,
99,0.099,0,0.004049,3.76877e-10,0,-481.18,5.52802e-12,
100,0.1,0,0.003639,4.36064e-10,0,-490.852,4.22773e-12,
101,0.101,0,0.004056,4.65694e-10,0,-500.62,5.96145e-12,
102,0.10200000000000001,0,0.003439,4.5756e-10,0,-510.484,5.65592e-12,
103,0.10300000000000001,0,0.006809,5.6743e-10,0,-520.445,6.62226e-12,
104,0.10400000000000001,0,0.003661,4.7565e-10,0,-530.501,4.66116e-12,
105,0.105,0,0.003634,5.19485e-10,0,-540.654,4.10694e-12,
106,0.106,0,0.003455,3.98724e-10,0,-550.904,4.23483e-12,
107,0.107,0,0.003569,4.43277e-10,0,-561.249,7.39675e-12,
108,0.108,0,0.004197,4.42998e-10,0,-571.69,4.9738e-12,
109,0.109,0,0.003847,4.04655e-10,0,-582.228,6.11067e-12,
110,0.11,0,0.003683,4.45726e-10,0,-592.862,5.96145e-12,
111,0.111,0,0.027052,4.48642e-10,0,-603.593,5.05906e-12,
112,0.112,0,0.012001,4.11157e-10,0,-614.419,3.9222e-12,
113,0.113,0,0.011688,4.74618e-10,0,-625.342,5.78382e-12,
114,0.114,0,0.014668,4.63068e-10,0,-636.361,6.95621e-12,
115,0.115,0,0.011476,4.23216e-10,0,-647.476,4.24905e-12,
