step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
82,0.082,0,0.003328,4.06614e-10,0,-331.485,6.35936e-12,
83,0.083,0,0.004458,4.73722e-10,0,-339.521,8.71836e-12,
84,0.084,0,0.003691,3.51953e-10,0,-347.653,6.24567e-12,
85,0.085,0,0.003535,3.85126e-10,0,-355.881,6.8141e-12,
86,0.08600000000000001,0,0.004774,3.49894e-10,0,-364.205,6.48015e-12,
87,0.08700000000000001,0,0.005709,4.86215e-10,0,-372.626,3.97904e-12,
88,0.088,0,0.003526,5.03949e-10,0,-381.143,5.74119e-12,
89,0.089,0,0.003682,3.39131e-10,0,-389.756,4.46221e-12,
90,0.09,0,0.007584,5.0792e-10,0,-398.466,4.53326e-12,
91,0.091,0,0.003185,4.44835e-10,0,-407.271,3.69482e-12,
92,0.092,0,0.003212,3.9675e-10,0,-416.173,5.60618e-12,
93,0.093,0,0.003977,4.20978e-10,0,-425.171,4.39826e-12,
94,0.094,0,0.003333,4.11289e-10,0,-434.265,6.92069e-12,
95,0.095,0,0.003359,3.81952e-10,0,-443.456,7.2049e-12,
96,0.096,0,0.017539,5.36118e-10,0,-452.743,6.71463e-12,
97,0.097,0,0.003688,3.61763e-10,0,-462.126,5.16565e-12,
98,0.098,0,0.003156,4.37754e-10,0,-471.605,5.27933e-12,
99,0.099,0,0.00352,3.6153e-10,0,-481.18,3.78719e-12,
100,0.1,0,0.003236,4.39819e-10,0,-490.852,4.76774e-12,
101,0.101,0,0.003293,4.91389e-10,0,-500.62,5.77671e-12,
102,0.10200000000000001,0,0.00424,4.16132e-10,0,-510.484,5.45697e-12,
103,0.10300000000000001,0,0.003451,4.8557e-10,0,-520.445,5.13722e-12,
104,0.10400000000000001,0,0.041998,3.576e-10,0,-530.501,5.70566e-12,
105,0.105,0,0.003549,4.4276e-10,0,-540.654,6.90648e-12,
106,0.106,0,0.004501,4.11612e-10,0,-550.904,5.19407e-12,
107,0.107,0,0.003779,4.59589e-10,0,-561.249,4.85301e-12,
108,0.108,0,0.003433,5.35161e-10,0,-571.69,3.59535e-12,
109,0.109,0,0.003468,4.31048e-10,0,-582.228,4.68248e-12,
110,0.11,0,0.003486,3.81434e-10,0,-592.862,4.59721e-12,
111,0.111,0,0.003712,5.15706e-10,0,-603.593,7.04148e-12,
112,0.112,0,0.003468,4.48769e-10,0,-614.419,4.07141e-12,
113,0.113,0,0.003227,4.26814e-10,0,-625.342,6.43041e-12,
114,0.114,0,0.003518,4.09383e-10,0,-636.361,4.38405e-12,
115,0.115,0,0.003617,5.12756e-10,0,-647.476,4.1851e-12,
116,0.116,0,0.005377,4.47204e-10,0,-658.688,6.49436e-12,
117,0.117,0,0.004668,3.87455e-10,0,-669.996,3.42482e-12,
118,0.11800000000000001,0,0.00353,4.31201e-10,0,-681.4,4.80327e-12,
119,0.11900000000000001,0,0.01866,4.9279e-10,0,-692.9,5.77671e-12,
120,0.12,0,0.004781,4.23795e-10,0,-704.496,4.68958e-12,
121,0.121,0,0.003391,3.98727e-10,0,-716.189,4.718e-12,
122,0.122,0,0.004415,4.48512e-10,0,-727.978,6.39488e-12,
123,0.123,0,0.003551,4.08153e-10,0,-739.863,4.14957e-12,
124,0.124,0,0.003458,5.25584e-10,0,-751.844,4.448e-12,
125,0.125,0,0.004369,5.00185e-10,0,-763.922,6.43752e-12,
126,0.126,0,0.00613,4.91456e-10,0,-776.096,5.05196e-12,
127,0.127,0,0.004205,4.78818e-10,0,-788.366,4.46221e-12,
128,0.128,0,0.004,4.74817e-10,0,-800.732,5.43565e-12,
129,0.129,0,0.004357,5.13939e-10,0,-813.195,5.67724e-12,
130,0.13,0,0.00508,4.05182e-10,0,-825.754,7.5957e-12,
131,0.131,0,0.004014,4.53146e-10,0,-838.409,2.91323e-12,
132,0.132,0,0.003473,4.33476e-10,0,-851.16,6.77858e-12,
133,0.133,0,0.005809,4.37779e-10,0,-864.008,2.91323e-12,
134,0.134,0,0.004527,5.14032e-10,0,-876.951,4.25615e-12,
135,0.135,0,0.005237,4.72146e-10,0,-889.991,2.96296e-12,
136,0.136,0,0.006153,4.94783e-10,0,-903.128,3.43903e-12,
137,0.137,0,0.00374,4.66127e-10,0,-916.36,4.31299e-12,
138,0.138,0,0.004324,4.81147e-10,0,-929.689,2.01794e-12,
139,0.139,0,0.003725,3.99356e-10,0,-943.114,2.96296e-12,
140,0.14,0,0.004093,3.89135e-10,0,-956.635,6.40199e-12,
141,0.14100000000000001,0,0.003721,4.042e-10,0,-970.252,4.17799e-12,
142,0.14200000000000002,0,0.004339,4.57621e-10,0,-983.966,5.98277e-12,
