step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
82,0.082,0,0.003983,4.42692e-10,0,-331.485,5.16565e-12,
83,0.083,0,0.004432,4.83218e-10,0,-339.521,7.9865e-12,
84,0.084,0,0.005999,4.10338e-10,0,-347.653,4.3201e-12,
85,0.085,0,0.008869,4.56635e-10,0,-355.881,6.21014e-12,
86,0.08600000000000001,0,0.004375,4.03794e-10,0,-364.205,7.17648e-12,
87,0.08700000000000001,0,0.004273,3.9092e-10,0,-372.626,6.21725e-12,
88,0.088,0,0.003981,3.80201e-10,0,-381.143,3.61666e-12,
89,0.089,0,0.004376,3.19574e-10,0,-389.756,6.31672e-12,
90,0.09,0,0.003985,3.63675e-10,0,-398.466,5.09459e-12,
91,0.091,0,0.003926,3.17138e-10,0,-407.271,5.42144e-12,
92,0.092,0,0.006363,4.28381e-10,0,-416.173,5.90461e-12,
93,0.093,0,0.005223,4.38253e-10,0,-425.171,7.1978e-12,
94,0.094,0,0.004602,4.50066e-10,0,-434.265,5.20828e-12,
95,0.095,0,0.004733,3.48948e-10,0,-443.456,6.48015e-12,
96,0.096,0,0.003979,4.03847e-10,0,-452.743,8.26361e-12,
97,0.097,0,0.003698,3.52671e-10,0,-462.126,4.27036e-12,
98,0.098,0,0.004058,4.19953e-10,0,-471.605,5.35039e-12,
99,0.099,0,0.004213,4.10862e-10,0,-481.18,5.62039e-12,
100,0.1,0,0.003901,4.75747e-10,0,-490.852,6.39488e-12,
101,0.101,0,0.003737,5.26727e-10,0,-500.62,4.21352e-12,
102,0.10200000000000001,0,0.004115,6.03416e-10,0,-510.484,5.59908e-12,
103,0.10300000000000001,0,0.053145,5.05378e-10,0,-520.445,5.50671e-12,
104,0.10400000000000001,0,0.004479,3.57099e-10,0,-530.501,6.13198e-12,
105,0.105,0,0.004049,3.9176e-10,0,-540.654,4.74643e-12,
106,0.106,0,0.00518,4.02881e-10,0,-550.904,7.83729e-12,
107,0.107,0,0.006872,5.29829e-10,0,-561.249,5.57066e-12,
108,0.108,0,0.004072,4.90645e-10,0,-571.69,4.68958e-12,
109,0.109,0,0.004013,4.17635e-10,0,-582.228,4.59011e-12,
110,0.11,0,0.003188,5.25056e-10,0,-592.862,3.90088e-12,
111,0.111,0,0.010518,4.99623e-10,0,-603.593,4.94538e-12,
112,0.112,0,0.003581,4.87146e-10,0,-614.419,3.75877e-12,
113,0.113,0,0.003537,5.61695e-10,0,-625.342,4.11404e-12,
114,0.114,0,0.003408,5.05311e-10,0,-636.361,5.79092e-12,
115,0.115,0,0.00374,5.00039e-10,0,-647.476,6.5512e-12,
116,0.116,0,0.004075,4.76206e-10,0,-658.688,5.38591e-12,
117,0.117,0,0.00371,4.55417e-10,0,-669.996,4.25615e-12,
118,0.11800000000000001,0,0.005648,4.21926e-10,0,-681.4,4.66827e-12,
119,0.11900000000000001,0,0.004091,5.12183e-10,0,-692.9,6.5512e-12,
120,0.12,0,0.005093,4.39089e-10,0,-704.496,3.25429e-12,
121,0.121,0,0.003882,4.26376e-10,0,-716.189,5.60618e-12,
122,0.122,0,0.00328,4.46502e-10,0,-727.978,7.51754e-12,
123,0.123,0,0.003896,4.79522e-10,0,-739.863,5.88329e-12,
124,0.124,0,0.004151,4.45744e-10,0,-751.844,5.13012e-12,
125,0.125,0,0.003327,5.25299e-10,0,-763.922,4.50484e-12,
126,0.126,0,0.003979,4.76063e-10,0,-776.096,4.46931e-12,
127,0.127,0,0.005885,5.09441e-10,0,-788.366,7.68097e-12,
128,0.128,0,0.006373,5.2536e-10,0,-800.732,4.37694e-12,
129,0.129,0,0.061209,4.82601e-10,0,-813.195,4.8459e-12,
130,0.13,0,0.004649,4.9431e-10,0,-825.754,5.74829e-12,
131,0.131,0,0.003652,3.9866e-10,0,-838.409,7.8515e-12,
132,0.132,0,0.004172,3.55105e-10,0,-851.16,5.41434e-12,
133,0.133,0,0.003882,4.78843e-10,0,-864.008,5.40012e-12,
134,0.134,0,0.00833,4.4529e-10,0,-876.951,4.17799e-12,
135,0.135,0,0.005296,5.00851e-10,0,-889.991,6.0183e-12,
136,0.136,0,0.004675,4.73661e-10,0,-903.128,4.09273e-12,
137,0.137,0,0.005309,5.01109e-10,0,-916.36,5.12301e-12,
138,0.138,0,0.004841,4.49322e-10,0,-929.689,4.01457e-12,
139,0.139,0,0.00594,4.03047e-10,0,-943.114,3.6664e-12,
140,0.14,0,0.009903,4.22253e-10,0,-956.635,5.38591e-12,
141,0.14100000000000001,0,0.007682,4.98141e-10,0,-970.252,2.20979e-12,
142,0.14200000000000002,0,0.006188,5.62672e-10,0,-983.966,8.29914e-12,
143,0.14300000000000002,0,0.004992,4.86936e-10,0,-997.776,4.69669e-12,
144,0.14400000000000002,0,0.003417,4.33819e-10,0,-1011.68,3.4035e-12,
145,0.145,0,0.004908,5.24364e-10,0,-1025.68,2.64322e-12,
146,0.146,0,0.005974,5.15642e-10,0,-1039.78,1.63425e-12,
147,0.147,0,0.005652,4.95319e-10,0,-1053.98,6.64357e-12,
148,0.148,0,0.00972,5.21538e-10,0,-1068.27,3.58114e-12,
149,0.149,0,0.005718,5.67363e-10,0,-1082.66,3.80851e-12,
150,0.15,0,0.003924,4.49471e-10,0,-1097.14,2.58638e-12,
151,0.151,0,0.004722,5.04279e-10,0,-1111.72,3.73745e-12,
152,0.152,0,0.005091,3.91679e-10,0,-1126.4,4.26326e-12,
153,0.153,0,0.013823,4.38201e-10,0,-1141.17,1.89004e-12,
154,0.154,0,0.015361,4.46756e-10,0,-1156.04,-1.84741e-13,
155,0.155,0,0.003698,4.44914e-10,0,-1171.0,5.39302e-12,
156,0.156,0,0.003456,4.61073e-10,0,-1186.06,2.33769e-12,
157,0.157,0,0.005022,4.18884e-10,0,-1201.22,2.55795e-13,
158,0.158,0,0.003415,5.59982e-10,0,-1216.47,3.9293e-12,
159,0.159,1,0.074179,7.39525e-06,0,-1231.82,0.0013061,0.0454821
160,0.16,1,0.0976,1.22123e-05,0,-1247.13,0.0214531,0.193786
161,0.161,2,0.056799,1.00868e-05,0,-1262.35,0.112999,0.42411
162,0.162,5,0.076495,8.39952e-05,0,-1277.4,0.368242,0.921984
163,0.163,6,0.067963,4.37843e-05,0,-1291.84,0.946464,1.53253
164,0.164,9,0.019371,5.55635e-08,0,-1305.86,2.0393,1.98927
165,0.165,10,0.016383,4.19e-08,0,-1319.66,3.7217,2.22441
166,0.166,14,0.027681,2.49174e-08,0,-1333.21,5.97049,2.37227
167,0.167,14,0.022774,1.19435e-07,0,-1346.35,8.74921,2.55608
168,0.168,17,0.016639,2.2268e-07,0,-1358.98,12.0566,2.82251
169,0.169,23,0.107566,6.30033e-05,0,-1371.02,15.9627,3.19784
170,0.17,30,0.01678,1.35059e-06,0,-1382.27,20.5607,3.81331
171,0.171,47,0.022978,1.63881e-08,0,-1392.15,25.922,5.25838
172,0.17200000000000001,61,0.016526,1.97617e-08,0,-1399.52,32.4729,7.28604
173,0.17300000000000001,76,0.14198,0.000461302,0,-1404.75,40.9049,9.26603
174,0.17400000000000002,87,0.026218,1.54656e-08,0,-1407.77,51.6018,11.379
175,0.17500000000000002,97,0.01614,3.17424e-06,0,-1407.42,64.8239,13.7818
176,0.176,108,0.090006,5.15382e-06,0,-1403.75,80.8588,16.5623
177,0.177,126,0.031981,1.27051e-06,0,-1396.17,99.8538,19.4928
178,0.178,138,0.052837,0.000327734,0,-1384.61,121.992,22.0878
179,0.179,150,0.050965,7.59869e-07,0,-1370.56,147.299,23.8321
180,0.18,163,0.129802,9.47778e-05,0,-1354.56,175.474,25.1133
181,0.181,180,0.034499,1.19151e-07,0,-1336.15,206.219,26.4528
182,0.182,199,0.050915,2.4922e-05,0,-1314.87,239.39,28.0558
183,0.183,214,0.043299,2.28184e-05,0,-1290.64,274.968,29.729
184,0.184,238,0.020871,1.90238e-06,0,-1263.72,312.882,31.4362
185,0.185,264,0.016278,2.34859e-06,0,-1234.03,352.997,33.4891
186,0.186,307,0.034756,8.71864e-07,0,-1200.81,394.962,37.223
187,0.187,359,0.110537,1.90159e-08,0,-1161.27,438.635,43.2194
188,0.188,408,0.133276,6.86658e-05,0,-1116.3,485.032,48.6461
189,0.189,452,0.119825,0.00381421,0,-1067.91,534.472,53.6768
190,0.19,483,0.070699,0.000712498,0,-1013.32,586.299,58.2549
191,0.191,493,0.098282,0.000198288,0,-957.868,639.626,59.1525
192,0.192,494,0.085,5.88238e-05,0,-905.318,692.371,58.4616
193,0.193,489,0.13629,2.24666e-05,0,-855.283,743.422,57.4799
194,0.194,484,0.019652,3.85755e-07,0,-807.433,793.552,56.2625
195,0.195,479,0.146616,3.4571e-06,0,-760.643,844.057,54.6444
196,0.196,468,0.019666,4.82774e-07,0,-713.664,895.694,52.665
