step,time_sec,ipc_active_samples,ipc_solver_time_sec,ipc_energy_main,ipc_energy_sub0,ipc_ls_active_samples,ipc_ls_solver_time_sec,ipc_ls_energy_main,ipc_ls_energy_sub0,penalty_active_samples,penalty_solver_time_sec,penalty_energy_main,penalty_energy_sub0
39.0,0.039,0.0,0.005659,-76.9889,4.93827e-12,0.0,0.00518,-76.9889,4.86722e-12,0.0,0.003557,-76.9889,5.40723e-12
40.0,0.04,0.0,0.004543,-80.8864,5.98277e-12,0.0,0.003793,-80.8864,4.16378e-12,0.0,0.003663,-80.8864,6.16041e-12
41.0,0.041,0.0,0.006081,-84.8802,6.06803e-12,0.0,0.005177,-84.8802,5.06617e-12,0.0,0.004645,-84.8802,5.80513e-12
42.0,0.042,0.0,0.004405,-88.9703,6.69331e-12,0.0,0.004962,-88.9703,5.16565e-12,0.0,0.00427,-88.9703,4.75353e-12
43.0,0.043000000000000003,0.0,0.005443,-93.1565,6.5441e-12,0.0,0.003857,-93.1565,5.80513e-12,0.0,0.004182,-93.1565,6.19593e-12
44.0,0.044,0.0,0.059741,-97.439,7.42517e-12,0.0,0.004373,-97.439,6.39488e-12,0.0,0.004316,-97.439,5.78382e-12
45.0,0.045,0.0,0.00581,-101.818,5.72697e-12,0.0,0.005371,-101.818,5.96856e-12,0.0,0.004997,-101.818,6.11067e-12
46.0,0.046,0.0,0.007186,-106.293,7.39675e-12,0.0,0.005574,-106.293,6.99174e-12,0.0,0.058428,-106.293,5.7554e-12
47.0,0.047,0.0,0.005543,-110.864,5.46407e-12,0.0,0.009171,-110.864,5.30775e-12,0.0,0.004633,-110.864,5.05196e-12
48.0,0.048,0.0,0.004679,-115.531,5.35749e-12,0.0,0.009675,-115.531,6.45883e-12,0.0,0.005215,-115.531,6.73595e-12
49.0,0.049,0.0,0.006306,-120.295,2.92033e-12,0.0,0.005315,-120.295,5.25802e-12,0.0,0.048024,-120.295,5.53513e-12
50.0,0.05,0.0,0.004286,-125.155,7.55307e-12,0.0,0.010781,-125.155,6.75016e-12,0.0,0.00442,-125.155,8.17835e-12
51.0,0.051000000000000004,0.0,0.005229,-130.111,3.87956e-12,0.0,0.017964,-130.111,5.80513e-12,0.0,0.00336,-130.111,5.70566e-12
52.0,0.052000000000000005,0.0,0.016037,-135.164,5.64881e-12,0.0,0.006178,-135.164,3.06244e-12,0.0,0.003365,-135.164,4.90274e-12
53.0,0.053,0.0,0.010563,-140.312,4.82459e-12,0.0,0.01061,-140.312,4.21352e-12,0.0,0.003382,-140.312,5.77671e-12
54.0,0.054,0.0,0.00561,-145.557,5.44986e-12,0.0,0.00494,-145.557,4.66116e-12,0.0,0.003873,-145.557,6.37357e-12
