step,time_sec,barrier_active_samples,penalty_active_samples,barrier_solver_time_sec,penalty_solver_time_sec,barrier_energy_main,penalty_energy_main,barrier_energy_sub0,penalty_energy_sub0
65,0.065,0,0,0.004876,0.00703,-203.299,-203.299,6.75016e-12,7.02727e-12
66,0.066,0,0,0.006943,0.003924,-209.602,-209.602,4.72511e-12,6.62936e-12
67,0.067,0,0,0.005511,0.003737,-216.002,-216.002,5.54223e-12,3.98614e-12
68,0.068,0,0,0.003504,0.004294,-222.498,-222.498,6.90648e-12,5.76961e-12
69,0.069,0,0,0.004439,0.005249,-229.09,-229.09,4.37694e-12,7.80176e-12
70,0.07,0,0,0.004585,0.006174,-235.778,-235.778,5.53513e-12,6.807e-12
71,0.07100000000000001,0,0,0.004696,0.004528,-242.563,-242.563,5.44986e-12,5.6346e-12
72,0.07200000000000001,0,0,0.003367,0.00478,-249.444,-249.444,7.75202e-12,5.70566e-12
73,0.073,0,0,0.005036,0.004695,-256.421,-256.421,4.23483e-12,4.8388e-12
74,0.074,0,0,0.005795,0.004619,-263.494,-263.494,5.59197e-12,4.04299e-12
75,0.075,0,0,0.024228,0.004452,-270.664,-270.664,5.8975e-12,3.38929e-12
76,0.076,0,0,0.025022,0.004795,-277.93,-277.93,8.32046e-12,7.16227e-12
77,0.077,0,0,0.003917,0.004574,-285.292,-285.292,6.92069e-12,5.38591e-12
78,0.078,0,0,0.004333,0.004363,-292.75,-292.75,7.65965e-12,6.0183e-12
79,0.079,0,0,0.006009,0.008685,-300.305,-300.305,9.10916e-12,5.29354e-12
80,0.08,0,0,0.005243,0.004409,-307.955,-307.955,7.35412e-12,5.71987e-12
81,0.081,0,0,0.006189,0.00785,-315.702,-315.702,8.64731e-12,6.8141e-12
82,0.082,0,0,0.005253,0.006433,-323.546,-323.546,8.21387e-12,5.17986e-12
83,0.083,0,0,0.007444,0.004285,-331.485,-331.485,8.10019e-12,8.41283e-12
84,0.084,0,0,0.009868,0.004856,-339.521,-339.521,7.42517e-12,6.36646e-12
85,0.085,0,0,0.00614,0.004381,-347.653,-347.653,5.54223e-12,6.25278e-13
86,0.08600000000000001,0,0,0.011207,0.003702,-355.881,-355.881,2.63611e-12,6.38067e-12
87,0.08700000000000001,0,0,0.006605,0.003468,-364.205,-364.205,5.64171e-12,7.02727e-12
88,0.088,0,0,0.006163,0.004674,-372.626,-372.626,5.88329e-12,7.60281e-12
89,0.089,0,0,0.006467,0.006559,-381.143,-381.143,4.4551e-12,4.64695e-12
90,0.09,0,0,0.006471,0.003832,-389.756,-389.756,5.35749e-12,5.17986e-12
91,0.091,0,0,0.008814,0.004285,-398.466,-398.466,5.77671e-12,7.75202e-12
92,0.092,0,0,0.010008,0.003549,-407.271,-407.271,6.17462e-12,5.94014e-12
93,0.093,0,0,0.009385,0.004824,-416.173,-416.173,5.44276e-12,5.3717e-12
94,0.094,0,0,0.007088,0.003926,-425.171,-425.171,5.85487e-12,6.42331e-12
95,0.095,0,0,0.004973,0.00381,-434.265,-434.265,4.52616e-12,6.49436e-12
96,0.096,0,0,0.007719,0.003959,-443.456,-443.456,4.69669e-12,5.66303e-12
97,0.097,0,0,0.022297,0.00493,-452.743,-452.743,6.58673e-12,5.11591e-12
98,0.098,0,0,0.006642,0.004249,-462.126,-462.126,6.0183e-12,5.64881e-12
99,0.099,0,0,0.005346,0.003948,-471.605,-471.605,5.1088e-12,7.13385e-12
100,0.1,0,0,0.004508,0.003887,-481.18,-481.18,6.45883e-12,6.51568e-12
101,0.101,0,0,0.004949,0.005424,-490.852,-490.852,5.66303e-12,6.14619e-12
102,0.10200000000000001,0,0,0.006208,0.004047,-500.62,-500.62,4.7109e-12,6.16041e-12
103,0.10300000000000001,0,0,0.005121,0.004156,-510.484,-510.484,4.42668e-12,5.52092e-12
104,0.10400000000000001,0,0,0.004313,0.005418,-520.445,-520.445,3.28981e-12,5.41434e-12
105,0.105,0,0,0.008996,0.040581,-530.501,-530.501,4.22062e-12,7.27596e-12
106,0.106,0,0,0.009053,0.014685,-540.654,-540.654,3.01981e-12,3.95772e-12
107,0.107,0,0,0.007855,0.010772,-550.904,-550.904,6.09646e-12,6.38067e-12
108,0.108,0,0,0.006519,0.004021,-561.249,-561.249,7.24754e-12,4.20641e-12
109,0.109,0,0,0.00693,0.005667,-571.69,-571.69,4.12825e-12,6.20304e-12
110,0.11,0,0,0.02133,0.016461,-582.228,-582.228,6.97042e-12,5.96856e-12
111,0.111,0,0,0.005122,0.0084,-592.862,-592.862,5.08749e-12,7.21201e-12
112,0.112,0,0,0.005422,0.004618,-603.593,-603.593,7.99361e-12,4.76774e-12
113,0.113,0,0,0.00515,0.009235,-614.419,-614.419,4.68958e-12,2.69296e-12
114,0.114,0,0,0.00544,0.005319,-625.342,-625.342,4.60432e-12,6.22435e-12
115,0.115,0,0,0.031987,0.005487,-636.361,-636.361,3.85825e-12,6.43752e-12
116,0.116,0,0,0.006443,0.004584,-647.476,-647.476,4.01457e-12,4.43379e-12
117,0.117,0,0,0.003907,0.005045,-658.688,-658.688,6.75726e-12,3.60956e-12
118,0.11800000000000001,0,0,0.008393,0.004456,-669.996,-669.996,5.84777e-12,4.35563e-12
119,0.11900000000000001,0,0,0.004383,0.004052,-681.4,-681.4,4.25615e-12,5.92593e-12
120,0.12,0,0,0.006832,0.004355,-692.9,-692.9,6.84253e-12,6.16041e-12
121,0.121,0,0,0.007128,0.004975,-704.496,-704.496,3.84404e-12,3.41061e-12
122,0.122,0,0,0.006066,0.004625,-716.189,-716.189,7.19069e-12,4.69669e-12
123,0.123,0,0,0.006541,0.004899,-727.978,-727.978,5.44276e-12,4.39115e-12
124,0.124,0,0,0.009082,0.004525,-739.863,-739.863,4.1851e-12,3.10507e-12
125,0.125,0,0,0.021249,0.004505,-751.844,-751.844,3.43903e-12,5.03775e-12
126,0.126,0,0,0.013899,0.003849,-763.922,-763.922,5.26512e-12,6.2883e-12
127,0.127,0,0,0.005798,0.006878,-776.096,-776.096,3.31113e-12,6.11777e-12
128,0.128,0,0,0.005203,0.004698,-788.366,-788.366,4.34852e-12,6.49436e-12
129,0.129,0,0,0.003434,0.003894,-800.732,-800.732,3.46034e-12,6.74305e-12
130,0.13,0,0,0.003803,0.005736,-813.195,-813.195,4.17089e-12,6.44462e-12
131,0.131,0,0,0.003296,0.005533,-825.754,-825.754,4.68248e-12,6.59384e-12
132,0.132,0,0,0.009374,0.006839,-838.409,-838.409,4.80327e-12,4.26326e-12
133,0.133,0,0,0.010757,0.004531,-851.16,-851.16,5.1017e-12,5.40723e-12
134,0.134,0,0,0.004495,0.005165,-864.008,-864.008,6.74305e-12,6.35225e-12
135,0.135,0,0,0.003687,0.006465,-876.951,-876.951,5.22959e-12,6.65779e-12
136,0.136,0,0,0.006702,0.007268,-889.991,-889.991,4.81748e-12,5.82645e-12
137,0.137,0,0,0.004038,0.012284,-903.128,-903.128,6.09646e-12,3.91509e-12
138,0.138,0,0,0.004861,0.010886,-916.36,-916.36,3.88667e-12,7.62412e-12
139,0.139,0,0,0.010447,0.006591,-929.689,-929.689,3.60956e-12,5.11591e-12
140,0.14,0,0,0.00902,0.00398,-943.114,-943.114,3.28271e-12,3.55982e-12
141,0.14100000000000001,0,0,0.006389,0.00396,-956.635,-956.635,5.94014e-12,4.47642e-12
142,0.14200000000000002,0,0,0.00456,0.009082,-970.252,-970.252,3.90088e-12,5.43565e-12
143,0.14300000000000002,0,0,0.006336,0.006053,-983.966,-983.966,5.4996e-12,5.13012e-12
144,0.14400000000000002,0,0,0.004127,0.005392,-997.776,-997.776,4.51905e-12,5.2367e-12
145,0.145,0,0,0.003969,0.004821,-1011.68,-1011.68,3.42482e-12,5.27933e-12
146,0.146,0,0,0.005243,0.004368,-1025.68,-1025.68,3.03402e-12,5.46407e-12
147,0.147,0,0,0.005754,0.004755,-1039.78,-1039.78,4.89564e-12,4.62563e-12
148,0.148,0,0,0.004206,0.005128,-1053.98,-1053.98,7.28306e-12,4.9738e-12
149,0.149,0,0,0.005665,0.009512,-1068.27,-1068.27,4.09273e-12,8.78941e-12
150,0.15,0,0,0.00465,0.005488,-1082.66,-1082.66,4.85301e-12,4.42668e-12
151,0.151,0,0,0.003938,0.004732,-1097.14,-1097.14,4.7109e-12,5.08749e-12
152,0.152,0,0,0.004702,0.005204,-1111.72,-1111.72,5.47118e-12,4.59011e-12
153,0.153,0,0,0.006465,0.005448,-1126.4,-1126.4,4.40536e-12,5.13012e-12
154,0.154,0,0,0.005255,0.004419,-1141.17,-1141.17,3.04112e-12,3.26139e-12
155,0.155,0,0,0.004845,0.004264,-1156.04,-1156.04,4.27747e-12,4.9809e-12
156,0.156,0,0,0.009956,0.007674,-1171.0,-1171.0,5.40723e-12,4.17089e-12
157,0.157,0,0,0.016507,0.036024,-1186.06,-1186.06,2.03926e-12,4.4551e-12
158,0.158,0,0,0.013826,0.007875,-1201.22,-1201.22,3.98614e-12,2.57216e-12
159,0.159,1,0,0.073662,0.005209,-1216.47,-1216.47,3.99325e-12,3.41771e-12
160,0.16,1,0,0.133695,0.005251,-1231.82,-1231.82,0.0013061,3.6664e-12
161,0.161,2,0,0.034583,0.005673,-1247.13,-1247.27,0.0214531,4.63984e-12
162,0.162,5,0,0.018556,0.005989,-1262.35,-1262.81,0.112999,1.74794e-12
163,0.163,6,0,0.059397,0.004786,-1277.4,-1278.45,0.368242,3.04823e-12
164,0.164,9,0,0.13944,0.005268,-1291.84,-1294.18,0.946464,5.54934e-12
165,0.165,10,0,0.025815,0.012923,-1305.86,-1310.01,2.0393,4.81037e-12
166,0.166,14,1,0.313278,0.010328,-1319.66,-1325.94,3.7217,1.66267e-12
167,0.167,14,2,0.110018,0.011173,-1333.21,-1341.96,5.97049,9.51309e-07
168,0.168,17,5,0.036668,0.07806,-1346.35,-1358.08,8.74921,7.83144e-06
169,0.169,23,7,0.028046,0.176363,-1358.98,-1374.29,12.0566,4.29274e-05
170,0.17,30,11,0.12344,0.090702,-1371.02,-1390.58,15.9627,0.000178764
171,0.171,47,15,0.058729,0.011889,-1382.27,-1406.95,20.5607,0.000590774
172,0.17200000000000001,61,23,0.027212,0.016338,-1392.15,-1423.38,25.922,0.00163549
173,0.17300000000000001,76,29,0.018966,0.010254,-1399.52,-1439.85,32.4729,0.00402961
